Lifetime,Broken,Temperature,Voltage,Current,Humidity,Vibration - X,Vibration  Y,Vibration  Z,Machine Name,Machine ID,Failure Model,Responsible Failure Cause
28,0,31,231,1.6,30,0.435,1.498,9.117,CNC Turning -1,20210045,Healthy State,NA
25,0,32,232,1.6,27,0.373,1.12,9.141,CNC Turning -1,20210046,Healthy State,NA
74,0,32,232,1.6,27,0.42,1.282,9.125,CNC Turning -1,20210045,Healthy State,NA
20,1,31,231,1.6,27,0.488,1.578,8.729,CNC Turning -1,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
93,1,30,230,1,28,0.396,1.131,9.133,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
57,0,30,230,1.6,28,0.337,1.156,9.117,CNC Turning -1,20210045,Healthy State,NA
46,0,30,230,1,31,0.412,1.166,9.125,CNC Turning -1,20210046,Healthy State,NA
60,1,30,230,1,28,0.408,1.12,8.729,CNC Turning -1,20210046,Vibration Model,Z vibration is lower than Rated Z vibration
56,0,32,232,1,27,0.461,1.133,9.152,CNC Turning -1,20210045,Healthy State,NA
1,1,32,232,1,27,0.404,1.241,8.729,CNC Turning -2,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
54,1,31,231,1,33,0.427,1.97,9.113,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
1,0,31,231,1,29,0.373,1.159,9.156,CNC Turning -2,20210045,Healthy State,NA
64,0,31,231,1,32,0.484,1.574,9.117,CNC Turning -1,20210045,Healthy State,NA
53,0,31,231,2,27,0.488,1.166,9.137,CNC Turning -2,20210045,Healthy State,NA
62,0,31,231,1,27,0.48,1.131,9.148,CNC Turning -1,20210045,Healthy State,NA
12,1,31,231,1,27,0.465,1.121,10.398,CNC Turning -2,20210045,Vibration Model,Z vibration is Higher than Rated Z vibration
50,0,30,230,1.6,28,0.333,1.513,9.141,CNC Turning -2,20210045,Healthy State,NA
30,0,32,232,1.6,27,0.465,1.578,9.125,CNC Turning -1,20210045,Healthy State,NA
58,1,31,231,1.6,32,0.404,0.908,9.125,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
82,1,30,230,1.6,28,0.377,1.139,9.117,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
26,0,31,231,1.6,27,0.465,1.586,9.117,CNC Turning -1,20210046,Healthy State,NA
93,1,31,231,1.6,27,0.42,1.159,9.117,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
80,0,31,231,1.6,27,0.332,1.12,9.148,CNC Turning -1,20210045,Healthy State,NA
64,1,31,231,1.6,27,0.465,1.282,8.729,CNC Turning -1,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
46,0,31,231,1.6,27,0.431,1.166,9.117,CNC Turning -1,20210046,Healthy State,NA
80,1,32,232,1.6,27,0.484,1.97,10.2,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
58,0,32,232,1.6,27,0.48,1.131,9.125,CNC Turning -1,20210045,Healthy State,NA
25,0,31,231,1.6,27,0.427,1.578,9.125,CNC Turning -2,20210045,Healthy State,NA
80,0,29,229,1.6,28,0.48,1.147,9.145,CNC Turning -1,20210045,Healthy State,NA
27,0,30,230,1.6,34,0.48,1.29,9.125,CNC Turning -2,20210045,Healthy State,NA
93,1,30,230,1.6,29,0.42,1.151,9.125,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
8,0,31,231,1.6,27,0.48,1.116,9.148,CNC Turning -2,20210045,Healthy State,NA
24,1,31,231,1,27,0.465,1.802,9.113,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
80,0,31,231,1.6,27,0.408,1.498,9.121,CNC Turning -2,20210045,Healthy State,NA
48,0,31,231,1,27,0.48,1.151,9.145,CNC Turning -1,20210046,Healthy State,NA
52,1,31,231,1,27,0.439,1.802,9.125,CNC Turning -2,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
65,0,30,230,1,34,0.404,1.494,9.133,CNC Turning -1,20210046,Healthy State,NA
74,1,30,230,1,28,0.332,1.239,8.729,CNC Turning -2,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
24,1,30,230,1,31,0.469,0.909,9.148,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
85,1,30,230,1,28,0.465,0.109,9.125,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
93,1,30,230,1,28,0.408,1.127,9.125,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
16,1,31,231,1,33,0.373,0.905,9.141,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
13,1,30,230,1,32,0.332,1.498,8.729,CNC Turning -2,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
22,0,30,230,2,28,0.423,1.504,9.125,CNC Turning -1,20210045,Healthy State,NA
86,1,29,229,1,32,0.357,0.141,9.156,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
58,0,30,230,1,28,0.332,1.239,9.125,CNC Turning -2,20210045,Healthy State,NA
